timestamp,price
2025-01-06 00:00:00,63.65
2025-01-06 00:15:00,65.0
2025-01-06 00:30:00,68.07
2025-01-06 00:45:00,66.95
2025-01-06 01:00:00,67.59
2025-01-06 01:15:00,68.75
2025-01-06 01:30:00,69.23
2025-01-06 01:45:00,70.75
2025-01-06 02:00:00,71.32
2025-01-06 02:15:00,70.56
2025-01-06 02:30:00,71.17
2025-01-06 02:45:00,70.48
2025-01-06 03:00:00,68.96
2025-01-06 03:15:00,67.77
2025-01-06 03:30:00,69.21
2025-01-06 03:45:00,69.28
2025-01-06 04:00:00,67.09
2025-01-06 04:15:00,65.91
2025-01-06 04:30:00,64.72
2025-01-06 04:45:00,61.99
2025-01-06 05:00:00,62.76
2025-01-06 05:15:00,61.9
2025-01-06 05:30:00,63.81
2025-01-06 05:45:00,68.44
2025-01-06 06:00:00,72.26
2025-01-06 06:15:00,72.25
2025-01-06 06:30:00,70.57
2025-01-06 06:45:00,70.68
2025-01-06 07:00:00,68.79
2025-01-06 07:15:00,71.06
2025-01-06 07:30:00,71.38
2025-01-06 07:45:00,72.84
2025-01-06 08:00:00,71.07
2025-01-06 08:15:00,72.97
2025-01-06 08:30:00,70.82
2025-01-06 08:45:00,70.23
2025-01-06 09:00:00,68.9
2025-01-06 09:15:00,68.55
2025-01-06 09:30:00,68.6
2025-01-06 09:45:00,68.94
2025-01-06 10:00:00,69.09
2025-01-06 10:15:00,68.11
2025-01-06 10:30:00,68.6
2025-01-06 10:45:00,71.4
2025-01-06 11:00:00,69.69
2025-01-06 11:15:00,69.64
2025-01-06 11:30:00,69.21
2025-01-06 11:45:00,65.34
2025-01-06 12:00:00,63.29
2025-01-06 12:15:00,60.52
2025-01-06 12:30:00,62.14
2025-01-06 12:45:00,57.92
2025-01-06 13:00:00,56.51
2025-01-06 13:15:00,56.3
2025-01-06 13:30:00,53.85
2025-01-06 13:45:00,54.38
2025-01-06 14:00:00,54.77
2025-01-06 14:15:00,54.79
2025-01-06 14:30:00,56.5
2025-01-06 14:45:00,54.2
2025-01-06 15:00:00,55.18
2025-01-06 15:15:00,57.85
2025-01-06 15:30:00,55.0
2025-01-06 15:45:00,53.05
2025-01-06 16:00:00,54.43
2025-01-06 16:15:00,54.54
2025-01-06 16:30:00,53.32
2025-01-06 16:45:00,51.14
2025-01-06 17:00:00,51.48
2025-01-06 17:15:00,51.77
2025-01-06 17:30:00,51.9
